Voyage date,Vessel name,Vessel master,Vessel cargo,Port of origin,Destination port,Voyage type
1860-04-19,Julia,Bushnell,,Port Townsend,Victoria,Outbound
1860-04-19,Growler,Barrington,,Port Townsend,Victoria,Outbound
1860-04-20,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1860-04-20,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1860-04-20,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1860-04-20,Architect,Burr,,Port Townsend,San Francisco,Outbound
1860-04-21,H. C. Page,Oberg,,Victoria,Port Townsend,Inbound
1860-04-21,Wilson G. Hunt,Welch,,Victoria,Port Townsend,Inbound
1860-04-21,H. C. Page,Oberg,,Port Townsend,Victoria,Outbound
1860-04-23,Panama,Birch,,Victoria,Port Townsend,Inbound
1860-04-23,Panama,Birch,,San Francisco,Port Townsend,Inbound
1860-04-23,Growler,Barrington,,Victoria,Port Townsend,Inbound
1860-04-23,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-04-23,Torrent,A. W. Gove,,San Francisco,Port Townsend,Inbound
1860-04-23,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-04-23,Otter,William Alexander Mouat,,New Westminster,Port Townsend,Inbound
1860-04-23,Otter,William Alexander Mouat,,New Westminster,Port Townsend,Inbound
1860-04-23,Lizzie Roberts,Ure,,Victoria,Port Townsend,Inbound
1860-04-23,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-04-23,Panama,Birch,,Port Townsend,Victoria,Outbound
1860-04-23,Wilson G. Hunt,Welch,,Port Townsend,Victoria,Outbound
1860-04-23,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-04-25,Colonist,Kinney,,Victoria,Port Townsend,Inbound
1860-04-25,Otter,William Alexander Mouat,,Port Townsend,Victoria,Outbound
1860-04-26,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1860-04-26,Ork,Trask,,San Francisco,Port Townsend,Inbound
1860-04-26,Jenny Ford,Moore,,Honolulu,Port Townsend,Inbound
1860-04-26,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-04-26,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1860-04-28,Ann Perry,Ginn,,San Francisco,Port Townsend,Inbound
1860-04-28,Beaver,Lewis,,Victoria,Port Townsend,Inbound
1860-04-28,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-04-28,Wilson G. Hunt,Welch,,Victoria,Port Townsend,Inbound
1860-04-28,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-04-28,Beaver,Lewis,,Port Townsend,Victoria,Outbound
1860-04-28,Athelston,Bracy,,Port Townsend,Valparaiso,Outbound
1860-04-28,Shark,Selby,,Port Townsend,Victoria,Outbound
1860-04-28,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-04-28,W. D. Rice,Buddington,,Port Townsend,San Francisco,Outbound
1860-04-30,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1860-04-30,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1860-04-30,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1860-04-30,Leonede,Charles T. Allen,,Port Townsend,New Westminster,Outbound
1860-04-30,Wilson G. Hunt,Welch,,Port Townsend,Victoria,Outbound
1860-04-30,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-05-01,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-01,Aguila de la Andes,Poscitti,,San Francisco,Port Townsend,Inbound
1860-05-01,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-05-02,Little Giant,Inslee,,Port Townsend,Victoria,Outbound
1860-05-02,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-05-03,Shark,Solby,,Victoria,Port Townsend,Inbound
1860-05-03,General Harney,Tucker,,Victoria,Port Townsend,Inbound
1860-05-03,Vickery,Callot,,Victoria,Port Townsend,Inbound
1860-05-03,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-03,Vickery,Callot,,Port Townsend,San Francisco,Outbound
1860-05-03,Growler,Barrington,,Port Townsend,Victoria,Outbound
1860-05-03,Manuella,McGregor,,Port Townsend,Hilo,Outbound
1860-05-03,Sarah Newton,Gibbs,,Port Townsend,Victoria,Outbound
1860-05-04,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-05-04,Rebecca,McAlmond,,Port Townsend,Victoria,Outbound
1860-05-04,Colonist,Kenney,,Port Townsend,Victoria,Outbound
1860-05-05,Sarah Newton,Gibbs,,Victoria,Port Townsend,Inbound
1860-05-05,Daniel Webster,Stannard,,Victoria,Port Townsend,Inbound
1860-05-05,Lizzie Roberts,Ure,,Victoria,Port Townsend,Inbound
1860-05-05,Black Diamond,Allen,,Port Townsend,Victoria,Outbound
1860-05-05,Alpha,Walker,,Port Townsend,Victoria,Outbound
1860-05-06,Little Giant,Henrley/Hensley/Jurler/Insler,,Victoria,Port Townsend,Inbound
1860-05-07,Marie,Thin,,Victoria,Port Townsend,Inbound
1860-05-07,Alpha,Walker,,Victoria,Port Townsend,Inbound
1860-05-07,Wilson G. Hunt,Welch,,Victoria,Port Townsend,Inbound
1860-05-07,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-07,Dashaway,Costellow/Costellon,,Victoria,Port Townsend,Inbound
1860-05-07,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-05-07,Dashaway,Costello,,Port Townsend,Victoria,Outbound
1860-05-07,Wilson G. Hunt,Welch,,Port Townsend,Victoria,Outbound
1860-05-08,Kate Jennings,Griffiths,,Port Townsend,Victoria,Outbound
1860-05-09,Rebecca,McAlmond,,Victoria,Port Townsend,Inbound
1860-05-09,Armistice,Richardson,,Victoria,Port Townsend,Inbound
1860-05-09,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-05-10,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-10,Panama,Hudson,,Victoria,Port Townsend,Inbound
1860-05-10,Panama,Hudson,,Port Townsend,Victoria,Outbound
1860-05-10,Jenny Ford,Moore,,Port Townsend,Honolulu,Outbound
1860-05-10,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-05-11,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1860-05-11,Growler,Barrington,,Victoria,Port Townsend,Inbound
1860-05-11,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1860-05-11,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-05-11,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1860-05-11,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-05-11,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1860-05-11,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1860-05-12,Colonist,Kenney,,Victoria,Port Townsend,Inbound
1860-05-12,Leonede,Charles T. Allen,,New Westminster,Port Townsend,Inbound
1860-05-12,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-05-12,Wilson G. Hunt,Welch,,Victoria,Port Townsend,Inbound
1860-05-12,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1860-05-12,Daniel Webster,Stannard,,Port Townsend,San Francisco,Outbound
1860-05-12,Wilson G. Hunt,Welch,,Port Townsend,Victoria,Outbound
1860-05-14,D. M. Hall,Black,,Victoria,Port Townsend,Inbound
1860-05-14,Kate Jennings,Griffiths,,Victoria,Port Townsend,Inbound
1860-05-14,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-14,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1860-05-14,Leonesa,Davis,,Victoria,Port Townsend,Inbound
1860-05-14,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-05-14,C. S. Kidder,Howell,,Port Townsend,Victoria,Outbound
1860-05-14,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-05-14,Sarah Newton,Gibbs,,Port Townsend,New Westminster,Outbound
1860-05-15,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-05-15,Hayack,Mahew,,Victoria,Port Townsend,Inbound
1860-05-15,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-15,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-05-15,Shooting Star,Bogling,,Port Townsend,Victoria,Outbound
1860-05-15,Rebecca,McAlmond,,Port Townsend,Victoria,Outbound
1860-05-16,Royal Charlie,Jenkins,,Victoria,Port Townsend,Inbound
1860-05-16,Kossuth,Oliver,,Victoria,Port Townsend,Inbound
1860-05-16,Auckland,Trask,,Victoria,Port Townsend,Inbound
1860-05-16,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1860-05-16,Royal Charlie,Jenkins,,Port Townsend,Victoria,Outbound
1860-05-16,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1860-05-16,Leonesa,Davis,,Port Townsend,San Francisco,Outbound
1860-05-17,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-17,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-05-17,Kate Jennings,Griffiths,,Port Townsend,Victoria,Outbound
1860-05-18,Consort,Kingston,,Honolulu,Port Townsend,Inbound
1860-05-18,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1860-05-18,Lizzie Roberts,Ure,,Victoria,Port Townsend,Inbound
1860-05-18,Rebecca,McAlmond,,Victoria,Port Townsend,Inbound
1860-05-18,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1860-05-18,Little Giant,Insler,,Port Townsend,Victoria,Outbound
1860-05-19,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1860-05-19,Mary Ann,Jones,,Victoria,Port Townsend,Inbound
1860-05-19,Alpha,Walker,,Victoria,Port Townsend,Inbound
1860-05-19,Shooting Star,Boyling,,Victoria,Port Townsend,Inbound
1860-05-19,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-19,Kate Jennings,Griffiths,,Victoria,Port Townsend,Inbound
1860-05-19,J. P. Evans,Biffen/Kiffen/Kiffer/Kiffion,,Victoria,Port Townsend,Inbound
1860-05-19,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-05-19,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-05-19,Petrel,Taylor ,,Port Townsend,Victoria,Outbound
1860-05-19,Ann Perry,Ginn,,Port Townsend,San Francisco,Outbound
1860-05-21,C. S. Kidder,Stowell,,Victoria,Port Townsend,Inbound
1860-05-21,Nahumkeag,Reed,,San Francisco,Port Townsend,Inbound
1860-05-21,Sarah Newton,Gibbs,,New Westminster,Port Townsend,Inbound
1860-05-21,Ork,A. Y. Trask,,Port Townsend,San Francisco,Outbound
1860-05-21,Auckland,Trask,,Port Townsend,San Francisco,Outbound
1860-05-21,Mary Ann,Jones,,Port Townsend,Victoria,Outbound
1860-05-21,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1860-05-21,J. P. Evans,Biffen/Kiffen/Kiffer/Kiffion,,Port Townsend,New Westminster,Outbound
1860-05-21,D. M. Hall,Blake,,Port Townsend,San Francisco,Outbound
1860-05-21,Kate Jennings,Griffiths,,Port Townsend,Victoria,Outbound
1860-05-22,Beaver,Lewis,,Victoria,Port Townsend,Inbound
1860-05-22,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-05-22,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-22,Vernon,Sowards/Howards,,Port Townsend,Honolulu,Outbound
1860-05-22,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-05-22,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-05-22,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-05-23,Beaver,Lewis,,Victoria,Port Townsend,Inbound
1860-05-23,Caroline,James Jones,,Port Townsend,Victoria,Outbound
1860-05-24,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-24,Colonist,Kenney,,Port Townsend,Victoria,Outbound
1860-05-24,Alpha,Walker,,Port Townsend,New Westminster,Outbound
1860-05-25,Panama,Hudson,,San Francisco,Port Townsend,Inbound
1860-05-25,Beaver,Lewis,,Port Townsend,Victoria,Outbound
1860-05-25,Get Up and Get,Lloyd,,Port Townsend,Victoria,Outbound
1860-05-25,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-05-25,John J. Wright (Eliza Anderson?),Wright,,Port Townsend,San Francisco,Outbound
1860-05-25,General Harney,Tucker,,Port Townsend,Victoria,Outbound
1860-05-25,Panama,Hudson,,Port Townsend,Victoria,Outbound
1860-05-26,Little Giant,Henrley/Hensley/Jurler/Insler,,Victoria,Port Townsend,Inbound
1860-05-26,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1860-05-26,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-26,W. S. Perkins,Bunker,,New Westminster,Port Townsend,Inbound
1860-05-26,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-26,W. S. Perkins,Bunker,,Port Townsend,San Francisco,Outbound
1860-05-26,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-05-27,Caroline,James Jones,,Victoria,Port Townsend,Inbound
1860-05-27,Lalla Rookh,Rogers,,Victoria,Port Townsend,Inbound
1860-05-27,Simon F. Blunt,Haynes,,San Francisco,Port Townsend,Inbound
1860-05-27,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-05-28,General Harney,Tucker,,Victoria,Port Townsend,Inbound
1860-05-28,Shooting Star,Boyling,,Victoria,Port Townsend,Inbound
1860-05-28,General Harney,Tucker,,Port Townsend,Victoria,Outbound
1860-05-29,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-05-29,Rebecca,McAlmond,,Port Townsend,Victoria,Outbound
1860-05-29,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-05-30,Otter,William Alexander Mouat,,Victoria,Port Townsend,Inbound
1860-05-30,Petrel,Taylor,,Victoria,Port Townsend,Inbound
1860-05-30,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1860-05-30,Cognito?/Cogrismbo,Knife,,Port Townsend,Hong Kong,Outbound
1860-05-31,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-05-31,Get Up and Get,Lloyd,,Victoria,Port Townsend,Inbound
1860-05-31,W. B. Scranton,Cathcart,,Victoria,Port Townsend,Inbound
1860-05-31,Sarah Newton,Gibbs,,Victoria,Port Townsend,Inbound
1860-05-31,Kossuth,Oliver,,Victoria,Port Townsend,Inbound
1860-05-31,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-05-31,Constitution,Foster,,Port Townsend,Honolulu,Outbound
1860-06-01,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1860-06-01,R. B. Potter,W. J. Norwood,,Port Townsend,Victoria,Outbound
1860-06-01,Otter,William Alexander Mouat,,Port Townsend,Victoria,Outbound
1860-06-02,Colonist,Kenney,,Victoria,Port Townsend,Inbound
1860-06-02,Simon F. Blunt,Haynes,,Port Townsend,Victoria,Outbound
1860-06-02,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-06-04,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1860-06-04,Marie,Thin,,Port Townsend,Sydney,Outbound
1860-06-04,Greyhound,Green,,Port Townsend,Victoria,Outbound
1860-06-04,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1860-06-04,Caroline,James Jones,,Port Townsend,New Westminster,Outbound
1860-06-04,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-06-04,Hznck/Hzuch/Hyaek,Mayhew,,Port Townsend,San Francisco,Outbound
1860-06-05,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-06-05,Wavelet,Powell,,Port Townsend,San Francisco,Outbound
1860-06-05,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-06-05,Mary Ann,Jones,,Port Townsend,Victoria,Outbound
1860-06-05,Aguila de los Andes,Precetto,,Port Townsend,Callao,Outbound
1860-06-06,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-06-06,Growler,Barrington,,Port Townsend,Victoria,Outbound
1860-06-07,Colonel Ebey,Hare,,Port Townsend,Victoria,Outbound
1860-06-07,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-06-07,Panama,Hudson,,Port Townsend,Victoria,Outbound
1860-06-08,Sarah Newton,Gibbs,,Port Townsend,Victoria,Outbound
1860-06-09,General Harney,Tucker,,Victoria,Port Townsend,Inbound
1860-06-09,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-06-09,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-06-11,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1860-06-11,Rebecca,McAlmond,,Port Townsend,Shoalwater Bay,Outbound
1860-06-11,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-06-11,Consort,McClellan,,Port Townsend,Honolulu,Outbound
1860-06-12,Petrel,Taylor,,Port Townsend,Victoria,Outbound
1860-06-14,Mary Ann,Jones,,Port Townsend,Victoria,Outbound
1860-06-14,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1860-06-14,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-06-14,Colonist,Kenney,,Port Townsend,Victoria,Outbound
1860-06-14,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-06-14,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-15,Shooting Star,Boyling,,Victoria,Port Townsend,Inbound
1860-06-15,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-06-15,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-06-15,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1860-06-17,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1860-06-18,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-18,General Harney,Tucker,,Port Townsend,Victoria,Outbound
1860-06-18,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-06-19,W. B. Scranton,Cathcart,,Port Townsend,San Francisco,Outbound
1860-06-20,Colonist,Kenney,,Victoria,Port Townsend,Inbound
1860-06-20,R. B. Potter,W. J. Norwood,,Port Townsend,Victoria,Outbound
1860-06-20,C. S. Kidder,Stowell,,Port Townsend,Victoria,Outbound
1860-06-20,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-06-20,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1860-06-20,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-20,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1860-06-21,Lawson,Watts,,Victoria,Port Townsend,Inbound
1860-06-21,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1860-06-21,Caroline,James Jones,,Port Townsend,Victoria,Outbound
1860-06-21,Petrel,Cullen,,Port Townsend,Victoria,Outbound
1860-06-22,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-06-22,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-06-22,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1860-06-22,P. J. Evans,Kiffin,,Victoria,Port Townsend,Inbound
1860-06-22,Panama,Hudson,,Victoria,Port Townsend,Inbound
1860-06-22,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-22,P. J. Evans,Kiffin,,Port Townsend,Victoria,Outbound
1860-06-23,Petrel,Cullen,,Victoria,Port Townsend,Inbound
1860-06-23,Lizzie Roberts,Ure,,Victoria,Port Townsend,Inbound
1860-06-23,Panama,Hudson,,Port Townsend,Victoria,Outbound
1860-06-25,Mary Ann,Jones,,Victoria,Port Townsend,Inbound
1860-06-25,General Harney,Tucker,,Victoria,Port Townsend,Inbound
1860-06-25,R. B. Potter,W. J. Norwood,,Victoria,Port Townsend,Inbound
1860-06-25,Kossuth,Oliver,,Victoria,Port Townsend,Inbound
1860-06-25,Mary Ann,Jones,,Port Townsend,Victoria,Outbound
1860-06-26,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-06-26,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1860-06-26,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-06-26,W. D. Rice,Buddington,,Victoria,Port Townsend,Inbound
1860-06-26,C. S. Kidder,Stowell,,Victoria,Port Townsend,Inbound
1860-06-26,Shooting Star,Boyling,,Victoria,Port Townsend,Inbound
1860-06-26,Wild Pigeon,Saunders,,Victoria,Port Townsend,Inbound
1860-06-26,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-26,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-06-26,Harriet,Coffin,,Port Townsend,Victoria,Outbound
1860-06-26,H. L. Tibbals,Griffiths,,Port Townsend,Victoria,Outbound
1860-06-26,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-06-26,Kossuth,Oliver,,Port Townsend,Victoria,Outbound
1860-06-27,Colonel Ebey,Hare,,Victoria,Port Townsend,Inbound
1860-06-27,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-06-27,Petrel,Cullen,,Port Townsend,Victoria,Outbound
1860-06-28,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-06-28,H. L. Tibbals,Griffiths,,Victoria,Port Townsend,Inbound
1860-06-28,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-28,H. L. Tibbals,Griffiths,,Port Townsend,Victoria,Outbound
1860-06-29,Somafs,Naunton,,Victoria,Port Townsend,Inbound
1860-06-29,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-06-29,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-06-29,Colonist,Kenney,,Port Townsend,Victoria,Outbound
1860-06-29,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-06-29,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1860-06-30,Fanny,Taylor,,Port Townsend,Victoria,Outbound
1860-06-30,Francisco,G. W. Pinkham,,Port Townsend,San Francisco,Outbound
1860-06-30,D. L. Clinch,Perriman,,Port Townsend,San Francisco,Outbound
1860-07-01,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1860-07-02,H. L. Tibbals,Griffiths,,Victoria,Port Townsend,Inbound
1860-07-02,Franklin Sherman,Whitford,,Victoria,Port Townsend,Inbound
1860-07-02,Petrel,Cullen,,Victoria,Port Townsend,Inbound
1860-07-02,Kossuth,Oliver,,Victoria,Port Townsend,Inbound
1860-07-02,Inannowa,Lemman,,Victoria,Port Townsend,Inbound
1860-07-02,Argonotte,Tuttle,,New Westminster,Port Townsend,Inbound
1860-07-02,Angennette/Angonosette,Tuttle,,Port Townsend,San Francisco,Outbound
1860-07-02,J?? / Inannowa,Lemmare / Lemman,,Port Townsend,San Francisco,Outbound
1860-07-02,Growler,Barrington,,Port Townsend,Victoria,Outbound
1860-07-02,Sherman,Whitford,,Port Townsend,Victoria,Outbound
1860-07-02,Petrel,Cullen,,Port Townsend,Victoria,Outbound
1860-07-03,Wilson G. Hunt,Welch,,Victoria,Port Townsend,Inbound
1860-07-03,Lalla Rookh,Connick,,Victoria,Port Townsend,Inbound
1860-07-03,Daniel Elliott,Robinson,,Victoria,Port Townsend,Inbound
1860-07-03,Shooting Star,Boyling,,Victoria,Port Townsend,Inbound
1860-07-03,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-07-03,H. L. Tibbals,Griffiths,,Port Townsend,Victoria,Outbound
1860-07-04,Colonel Ebey,Hare,,Victoria,Port Townsend,Inbound
1860-07-04,Leonede,Charles T. Allen,,Victoria,Port Townsend,Inbound
1860-07-04,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-07-04,Petrel,Cullen,,Victoria,Port Townsend,Inbound
1860-07-04,Restless,Richter,,Port Townsend,Victoria,Outbound
1860-07-04,Leonede,Charles T. Allen,,Port Townsend,Victoria,Outbound
1860-07-05,Vickery,Callot,,Victoria,Port Townsend,Inbound
1860-07-05,Flying Mist,Berry,,Victoria,Port Townsend,Inbound
1860-07-05,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-07-05,Flying Mist,Berry,,Port Townsend,Victoria,Outbound
1860-07-05,Wilson G. Hunt,Welch,,Port Townsend,Victoria,Outbound
1860-07-05,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-07-05,Vickery,Callot,,Port Townsend,San Francisco,Outbound
1860-07-05,Wild Pigeon,Saunders,,Port Townsend,Victoria,Outbound
1860-07-06,Colonist,Kenney,,Victoria,Port Townsend,Inbound
1860-07-07,Oregon,Hudson,,Victoria,Port Townsend,Inbound
1860-07-07,Growler,Barrington,,Victoria,Port Townsend,Inbound
1860-07-07,P. J. Evans,Kiffin,,Victoria,Port Townsend,Inbound
1860-07-07,Eliza Anderson,Wright,,Victoria,Port Townsend,Inbound
1860-07-07,P. J. Evans,Kiffin,,Port Townsend,Victoria,Outbound
1860-07-07,Get Up and Get,Lloyd,,Port Townsend,Victoria,Outbound
1860-07-09,Jennet,Miller,,Victoria,Port Townsend,Inbound
1860-07-09,Mary Ann,Jones,,Victoria,Port Townsend,Inbound
1860-07-09,H. L. Tibbals,Griffiths,,Victoria,Port Townsend,Inbound
1860-07-09,Restless,Ritchie / Ritcher,,Victoria,Port Townsend,Inbound
1860-07-09,Amelia,Thornton,,Victoria,Port Townsend,Inbound
1860-07-09,Caroline,James Jones,,Victoria,Port Townsend,Inbound
1860-07-09,Mary Ann,Jones,,Port Townsend,Victoria,Outbound
1860-07-09,Rebecca,McAlmond,,Port Townsend,Victoria,Outbound
1860-07-09,Oregon,Hudson,,Port Townsend,Victoria,Outbound
1860-07-09,Eliza Anderson,Wright,,Port Townsend,Victoria,Outbound
1860-07-09,Colonel Ebey,Hare,,Port Townsend,Victoria,Outbound
1860-07-10,Meg Merrilles,Phamplet/Pamphlet/Pamplhett,,Victoria,Port Townsend,Inbound
1860-07-10,Lizzie Roberts,Ure,,Victoria,Port Townsend,Inbound
1860-07-10,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-07-10,Lizzie Roberts,Ure,,Port Townsend,Victoria,Outbound
1860-07-11,Kossuth,Oliver,,Victoria,Port Townsend,Inbound
1860-07-11,J. C. Caswell,Lawrence,,Port Townsend,Victoria,Outbound
1860-07-11,Caroline,James Jones,,Port Townsend,Victoria,Outbound
1860-07-11,Shooting Star,Boyling,,Port Townsend,Victoria,Outbound
1860-07-11,Lalla Rookh,Connick,,Port Townsend,Victoria,Outbound
1860-07-12,Midnight Cry,Peel,,Victoria,Port Townsend,Inbound
1860-07-12,Elizabeth,Melvin,,Victoria,Port Townsend,Inbound
1860-07-12,Daniel Webster,Stannard,,Victoria,Port Townsend,Inbound
1860-07-12,Amelia,Thornton,,Port Townsend,Victoria,Outbound
1860-07-12,W. D. Rice,Buddington,,Port Townsend,San Francisco,Outbound
1860-07-12,H. L. Tibbals,Griffiths,,Port Townsend,Victoria,Outbound
1860-07-12,Elizabeth,Melvin,,Port Townsend,Victoria,Outbound
1860-07-13,Get Up and Get,Lloyd,,Victoria,Port Townsend,Inbound
1860-07-13,Rebecca,McAlmond,,Victoria,Port Townsend,Inbound
1860-07-13,Harriet,Coffin,,Victoria,Port Townsend,Inbound
1860-07-13,J. C. Caswell,Lawrence,,Victoria,Port Townsend,Inbound
1860-07-13,Saucy Lass,Millington,,Victoria,Port Townsend,Inbound
